k collected-at,search,store-id,store-address,store-name,product-name,product-score,product-price,product-unit,product-master-id,product-image,product-quantity
2023-09-26 | 17:54:33,pao de queijo,900130437,"Rodovia BR 356, 3049 Andar Ouro Preto - Lojas 13/14, Belo Horizonte - MG, 30320-900, Brasil",carrefour-hiper-super-market,Maricota Pão de Queijo Lanche,100,7.39,gr,589580,e72a38c2-1041-46ca-b1fb-10dfd28f21f4.jpg,300
2023-09-26 | 17:54:33,pao de queijo,900130437,"Rodovia BR 356, 3049 Andar Ouro Preto - Lojas 13/14, Belo Horizonte - MG, 30320-900, Brasil",carrefour-hiper-super-market,Forno de Minas Pão de Queijo Assado Tradicional,100,16.69,gr,62536,541475675379_fgozcdynblni_788903246548_zvibgifawpyn_62536_1.jpeg,240
2023-09-26 | 17:54:33,pao de queijo,900130437,"Rodovia BR 356, 3049 Andar Ouro Preto - Lojas 13/14, Belo Horizonte - MG, 30320-900, Brasil",carrefour-hiper-super-market,Pão de Queijo Tradicional Carrefour,100,9.19,gr,1584538,2092886091-1542049720.png,400
2023-09-26 | 17:54:33,pao de queijo,900130437,"Rodovia BR 356, 3049 Andar Ouro Preto - Lojas 13/14, Belo Horizonte - MG, 30320-900, Brasil",carrefour-hiper-super-market,Yoki Mistura Para Pão De Queijo,100,10.29,gr,59092,455e31cf-0f69-43a2-ba5b-29c665955252.jpeg,250
2023-09-26 | 17:54:33,pao de queijo,900130437,"Rodovia BR 356, 3049 Andar Ouro Preto - Lojas 13/14, Belo Horizonte - MG, 30320-900, Brasil",carrefour-hiper-super-market,Confiare Pão De Queijo Com Goiabada,100,16.79,gr,1520439,2109893363-1617312478437.png,300
2023-09-26 | 17:54:33,pao de queijo,900598145,"Rua Aggeo Pio Sobrinho, Nº 380 E 384,Buritis, BH/MG – CEP 30.575-834",bemhortifruti-super,Seu Ninico Pão de Queijo Ferradurinha 3 Queijos Congelado ,100,21.99,gr,1906884,acf7bdf1-c730-4bc6-a3aa-cb0b723d98fa.png,500
2023-09-26 | 17:54:33,pao de queijo,900598145,"Rua Aggeo Pio Sobrinho, Nº 380 E 384,Buritis, BH/MG – CEP 30.575-834",bemhortifruti-super,Seu Ninico Pão de Queijo Tradicional Zero Lactose,80,16.99,gr,1792832,877033272143_jrmefjfotniy_502303961605_okphojymxngd_1792832_1.jpeg,400
2023-09-26 | 17:54:33,pao de queijo,900598145,"Rua Aggeo Pio Sobrinho, Nº 380 E 384,Buritis, BH/MG – CEP 30.575-834",bemhortifruti-super,Seu Ninico Pão De Queijo Congelado Coquetel,100,33.99,kg,265510,762431448095_qainffvqptxt_105965185555_kmnvdpqlxmmp_265510_1.jpeg,1
2023-09-26 | 17:54:33,pao de queijo,900598145,"Rua Aggeo Pio Sobrinho, Nº 380 E 384,Buritis, BH/MG – CEP 30.575-834",bemhortifruti-super,Pão Ti Delso Queijo Frango,82,26.99,kg,1785558,581525159477_ixzhchcuqste_321911145084_jpzgwjcgzutd_1785558_1.jpeg,1
2023-09-26 | 17:54:33,pao de queijo,900598145,"Rua Aggeo Pio Sobrinho, Nº 380 E 384,Buritis, BH/MG – CEP 30.575-834",bemhortifruti-super,Requeijao Pao Queijo Ti Delso,82,26.99,kg,1906900,569685961435_napomfqrynsn_856728275268_oqkoluicwcor_1906900_1.jpeg,1
